dataset,structure,operation,cache_mean,cache_std,time_mean,time_std,energy_mean,energy_std,edp_mean,edp_std
crocodile_edges,matrix,components,7483795.0,0.0,0.3628,0.0,8.32,0.0,3.0184960000000003,0.0
crocodile_edges,matrix,clustering,25615999.0,0.0,0.72488,0.0,14.95,0.0,10.836955999999999,0.0
crocodile_edges,list,insertion,1162931.0,0.0,0.016211,0.0,0.65,0.0,0.01053715,0.0
crocodile_edges,list,components,1659969.0,0.0,2.5509,0.0,42.63,0.0,108.744867,0.0
crocodile_edges,list,clustering,22621387.0,0.0,4.52471,0.0,77.26,0.0,349.5790946,0.0
crocodile_edges,hash,insertion,1315463.0,0.0,0.02354,0.0,0.99,0.0,0.023304599999999998,0.0
crocodile_edges,hash,components,1581461.0,0.0,0.71584,0.0,15.96,0.0,11.424806400000001,0.0
crocodile_edges,hash,clustering,7975840.0,0.0,1.45117,0.0,29.93,0.0,43.4335181,0.0
crocodile_edges,matrix_vec,insertion,11643118.0,0.0,0.067985,0.0,1.56,0.0,0.10605660000000001,0.0
crocodile_edges,matrix_vec,components,7989427.0,0.0,0.547005,0.0,11.99,0.0,6.55858995,0.0
crocodile_edges,matrix_vec,clustering,25994573.0,0.0,1.02544,0.0,21.56,0.0,22.108486399999997,0.0
crocodile_edges,list_vec,insertion,844278.0,0.0,0.020654,0.0,0.71,0.0,0.014664339999999998,0.0
crocodile_edges,list_vec,components,1828710.0,0.0,17.222,0.0,309.29,0.0,5326.592380000001,0.0
crocodile_edges,list_vec,clustering,24422378.0,0.0,32.5531,0.0,574.17,0.0,18691.013426999998,0.0
crocodile_edges,hash_umap,insertion,2869590.0,0.0,0.06244,0.0,1.62,0.0,0.10115280000000001,0.0
crocodile_edges,hash_umap,components,4483023.0,0.0,5.63519,0.0,107.52,0.0,605.8956287999999,0.0
crocodile_edges,hash_umap,clustering,21938146.0,0.0,9.148,0.0,171.93,0.0,1572.81564,0.0
